Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
2020-12-16 - Plate scFv2,Experiment,Group,,A6,Experiment,None,,R1,FSC-A,SSC-A,3840,100,38.400,89.157,89.157,636423,19377,570177,16094,501775,11040,210405.83,9680.45,33.06,49.96,153641.84,7915.60,26.95,49.18
2020-12-16 - Plate scFv2,Experiment,Group,,A6,Experiment,None,,R1,BL1-A,,3840,100,38.400,89.157,89.157,746,N/A,161,N/A,-20,N/A,2821.45,N/A,378.43,N/A,117.87,N/A,73.21,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B1,Experiment,None,,R1,FSC-A,SSC-A,3589,100,35.890,91.673,91.673,527210,18372,499982,15807,515961,13505,184063.99,8680.10,34.91,47.25,137300.62,6339.60,27.46,40.11
2020-12-16 - Plate scFv2,Experiment,Group,,B1,Experiment,None,,R1,BL1-A,,3589,100,35.890,91.673,91.673,2073,N/A,480,N/A,-13,N/A,3984.37,N/A,192.16,N/A,594.52,N/A,123.86,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B2,Experiment,None,,R1,FSC-A,SSC-A,1910,100,19.100,86.269,86.269,442106,17542,461907,16054,461957,16542,167653.28,6650.98,37.92,37.91,136345.82,4914.82,29.52,30.61
2020-12-16 - Plate scFv2,Experiment,Group,,B2,Experiment,None,,R1,BL1-A,,1910,100,19.100,86.269,86.269,8721,N/A,7094,N/A,6670,N/A,8330.39,N/A,95.52,N/A,3347.71,N/A,47.19,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B3,Experiment,None,,R1,FSC-A,SSC-A,4360,100,43.600,92.003,92.003,564439,18857,523599,16003,514822,13340,183196.66,9156.86,32.46,48.56,126956.52,6766.59,24.25,42.28
2020-12-16 - Plate scFv2,Experiment,Group,,B3,Experiment,None,,R1,BL1-A,,4360,100,43.600,92.003,92.003,2032,N/A,315,N/A,-19,N/A,3490.99,N/A,171.80,N/A,364.72,N/A,115.78,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B4,Experiment,None,,R1,FSC-A,SSC-A,4358,100,43.580,90.359,90.359,489896,16703,479924,15591,456552,13686,122902.64,6038.06,25.09,36.15,97483.91,4685.76,20.31,30.06
2020-12-16 - Plate scFv2,Experiment,Group,,B4,Experiment,None,,R1,BL1-A,,4358,100,43.580,90.359,90.359,6648,N/A,5873,N/A,6686,N/A,5541.68,N/A,83.36,N/A,2727.98,N/A,46.45,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B5,Experiment,None,,R1,FSC-A,SSC-A,4589,100,45.890,89.699,89.699,507102,16424,493390,14781,508083,14056,144884.38,6822.07,28.57,41.54,107205.32,4802.14,21.73,32.49
2020-12-16 - Plate scFv2,Experiment,Group,,B5,Experiment,None,,R1,BL1-A,,4589,100,45.890,89.699,89.699,6318,N/A,5654,N/A,6592,N/A,5860.85,N/A,92.77,N/A,3516.73,N/A,62.20,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B6,Experiment,None,,R1,FSC-A,SSC-A,4034,100,40.340,91.061,91.061,499859,17095,489746,15878,475365,16528,119716.68,6140.12,23.95,35.92,97597.33,4695.39,19.93,29.57
2020-12-16 - Plate scFv2,Experiment,Group,,B6,Experiment,None,,R1,BL1-A,,4034,100,40.340,91.061,91.061,9695,N/A,8187,N/A,6957,N/A,10489.68,N/A,108.20,N/A,3378.10,N/A,41.26,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C1,Experiment,None,,R1,FSC-A,SSC-A,3191,100,31.910,90.679,90.679,613007,19170,552799,16387,508482,11470,207582.96,9349.49,33.86,48.77,139174.62,7834.06,25.18,47.81
2020-12-16 - Plate scFv2,Experiment,Group,,C1,Experiment,None,,R1,BL1-A,,3191,100,31.910,90.679,90.679,1032,N/A,168,N/A,-19,N/A,3464.13,N/A,335.58,N/A,123.06,N/A,73.25,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C2,Experiment,None,,R1,FSC-A,SSC-A,3259,100,32.590,92.743,92.743,604239,18508,542743,15435,522296,11343,198749.03,9075.35,32.89,49.04,127023.24,7157.99,23.40,46.38
2020-12-16 - Plate scFv2,Experiment,Group,,C2,Experiment,None,,R1,BL1-A,,3259,100,32.590,92.743,92.743,798,N/A,158,N/A,-21,N/A,3140.94,N/A,393.84,N/A,106.75,N/A,67.56,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C3,Experiment,None,,R1,FSC-A,SSC-A,3699,100,36.990,93.362,93.362,597574,18254,538966,15321,514880,12121,192820.45,8819.22,32.27,48.31,117144.67,6584.23,21.74,42.98
2020-12-16 - Plate scFv2,Experiment,Group,,C3,Experiment,None,,R1,BL1-A,,3699,100,36.990,93.362,93.362,528,N/A,159,N/A,-19,N/A,2185.29,N/A,414.05,N/A,106.75,N/A,67.14,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C4,Experiment,None,,R1,FSC-A,SSC-A,5011,100,50.110,91.626,91.626,525351,17142,498389,15033,494391,14644,167528.56,7801.54,31.89,45.51,120308.54,5513.79,24.14,36.68
